"company_name","fiscal_year","operating_cash_flow","investing_cash_flow","financing_cash_flow","free_cash_flow"
Shopify Inc.,2024,1616000000,,,
Shopify Inc.,2025,2033000000,,,
Barrick Gold Corporation,2010,864000000,,,
Barrick Gold Corporation,2011,667000000,,,
Barrick Gold Corporation,2012,817000000,,,
Barrick Gold Corporation,2013,760000000,,,
Barrick Gold Corporation,2014,1231000000,,,
Barrick Gold Corporation,2015,1353000000,,,
Barrick Gold Corporation,2016,1150000000,,,
Barrick Gold Corporation,2017,1804000000,,,
Barrick Gold Corporation,2018,2083000000,,,
Barrick Gold Corporation,2019,2456000000,,,
Barrick Gold Corporation,2020,2183000000,,,
Barrick Gold Corporation,2021,1714000000,,,
Barrick Gold Corporation,2022,1153000000,,,
Barrick Gold Corporation,2023,1970000000,,,
Barrick Gold Corporation,2024,1152000000,,,
Barrick Gold Corporation,2025,1533000000,,,
Barrick Gold Corporation,2009,915000000,,,
Barrick Gold Corporation,2008,973000000,,,
Teck Resources Limited,2010,124136000,,,
Teck Resources Limited,2011,86424000,,,
Teck Resources Limited,2012,134899000,,,
Teck Resources Limited,2013,79636000,,,
Teck Resources Limited,2014,137618000,,,
Teck Resources Limited,2015,134756000,,,
Teck Resources Limited,2016,145847000,,,
Teck Resources Limited,2017,128525000,,,
Teck Resources Limited,2018,237201000,,,
Teck Resources Limited,2019,204747000,,,
Teck Resources Limited,2020,192292000,,,
Teck Resources Limited,2021,662723000,,,
Teck Resources Limited,2022,1065029000,,,
Teck Resources Limited,2023,670000000,,,
Teck Resources Limited,2024,659000000,,,
Teck Resources Limited,2025,746000000,,,
Teck Resources Limited,2009,37257000,,,
Fortis Inc.,2016,803800000,,,
Fortis Inc.,2017,912700000,,,
Fortis Inc.,2018,1497800000,,,
Fortis Inc.,2019,1749000000,,,
Fortis Inc.,2020,1753800000,,,
Fortis Inc.,2021,1351700000,,,
Fortis Inc.,2022,1801900000,,,
Fortis Inc.,2023,1980200000,,,
Fortis Inc.,2024,1983700000,,,
Fortis Inc.,2025,2045200000,,,
Hydro One Limited,2018,2341700000,,,
Hydro One Limited,2019,1803700000,,,
Hydro One Limited,2020,1231800000,,,
Hydro One Limited,2021,3016900000,,,
Hydro One Limited,2022,2999000000,,,
Hydro One Limited,2023,2900000000,,,
Hydro One Limited,2024,2302900000,,,
Hydro One Limited,2025,2315900000,,,
Loblaw Companies Limited,2010,581000000,,,
Loblaw Companies Limited,2011,518700000,,,
Loblaw Companies Limited,2012,686500000,,,
Loblaw Companies Limited,2013,678300000,,,
Loblaw Companies Limited,2014,794100000,,,
Loblaw Companies Limited,2015,942800000,,,
